game_name,url
Concurrent Steam Users,https://steamdb.info/app/753/charts/
Counter-Strike 2,https://steamdb.info/app/730/charts/
PUBG: BATTLEGROUNDS,https://steamdb.info/app/578080/charts/
Dota 2,https://steamdb.info/app/570/charts/
Apex Legends,https://steamdb.info/app/1172470/charts/
Bongo Cat,https://steamdb.info/app/3419430/charts/
Delta Force,https://steamdb.info/app/2507950/charts/
NARAKA: BLADEPOINT,https://steamdb.info/app/1203220/charts/
Rust,https://steamdb.info/app/252490/charts/
Wallpaper Engine,https://steamdb.info/app/431960/charts/
Banana,https://steamdb.info/app/2923300/charts/
Source SDK Base 2007,https://steamdb.info/app/218/charts/
Grand Theft Auto V Legacy,https://steamdb.info/app/271590/charts/
War Thunder,https://steamdb.info/app/236390/charts/
Clair Obscur: Expedition 33,https://steamdb.info/app/1903340/charts/
Marvel Rivals,https://steamdb.info/app/2767030/charts/
R.E.P.O.,https://steamdb.info/app/3241660/charts/
Stardew Valley,https://steamdb.info/app/413150/charts/
Baldur's Gate 3,https://steamdb.info/app/1086940/charts/
Monster Hunter Wilds,https://steamdb.info/app/2246340/charts/
Grand Theft Auto V Enhanced,https://steamdb.info/app/3240220/charts/
Spacewar,https://steamdb.info/app/480/charts/
EA SPORTS FC 25,https://steamdb.info/app/2669320/charts/
Tom Clancy's Rainbow Six Siege,https://steamdb.info/app/359550/charts/
Call of Duty®,https://steamdb.info/app/1938090/charts/
Football Manager 2024,https://steamdb.info/app/2252570/charts/
Hearts of Iron IV,https://steamdb.info/app/394360/charts/
V Rising,https://steamdb.info/app/1604030/charts/
Once Human,https://steamdb.info/app/2139460/charts/
Don't Starve Together,https://steamdb.info/app/322330/charts/
Dead by Daylight,https://steamdb.info/app/381210/charts/
Schedule I,https://steamdb.info/app/3164500/charts/
Path of Exile 2,https://steamdb.info/app/2694490/charts/
Crosshair X,https://steamdb.info/app/1366800/charts/
NBA 2K25,https://steamdb.info/app/2878980/charts/
The Elder Scrolls IV: Oblivion Remastered,https://steamdb.info/app/2623190/charts/
Warframe,https://steamdb.info/app/230410/charts/
ELDEN RING,https://steamdb.info/app/1245620/charts/
VRChat,https://steamdb.info/app/438100/charts/
Team Fortress 2,https://steamdb.info/app/440/charts/
Red Dead Redemption 2,https://steamdb.info/app/1174180/charts/
DayZ,https://steamdb.info/app/221100/charts/
Sid Meier's Civilization VI,https://steamdb.info/app/289070/charts/
tModLoader,https://steamdb.info/app/1281930/charts/
Overwatch® 2,https://steamdb.info/app/2357570/charts/
Yu-Gi-Oh! Master Duel,https://steamdb.info/app/1449850/charts/
Stellaris,https://steamdb.info/app/281990/charts/
